word,phonetic,definition
悪循環,あくじゅんかん,恶性循环。例：悪循環に陥る。
圧迫,あっぱく,压迫。例：生活を圧迫する。
暗示,あんじ,暗示。例：結果を暗示する。
一括,いっかつ,一并；汇总。例：一括で支払う。
一見,いっけん,乍一看。例：一見簡単に見える。
著しい,いちじるしい,显著的。例：著しい成長。
介入,かいにゅう,介入。例：政府が介入する。
過密,かみつ,过密。例：過密なスケジュール。
還元,かんげん,还原；回馈。例：利益を社会に還元する。
規制,きせい,管制；限制。例：規制を強化する。
既存,きそん,既有。例：既存の制度。
均衡,きんこう,均衡。例：均衡を保つ。
懸念,けねん,担忧。例：安全性を懸念する。
顕著,けんちょ,显著。例：顕著な変化。
合意,ごうい,达成一致。例：合意に至る。
根拠,こんきょ,根据。例：根拠を示す。
錯覚,さっかく,错觉。例：錯覚を起こす。
暫定,ざんてい,暂定。例：暫定的な措置。
視野,しや,视野。例：視野を広げる。
収束,しゅうそく,收敛；平息。例：混乱が収束する。
柔軟,じゅうなん,灵活。例：柔軟に対応する。
譲歩,じょうほ,让步。例：互いに譲歩する。
迅速,じんそく,迅速。例：迅速な対応。
遂行,すいこう,执行；完成。例：任務を遂行する。
是正,ぜせい,纠正。例：格差を是正する。
促進,そくしん,促进。例：理解を促進する。
妥協,だきょう,妥协。例：妥協点を探る。
抽象,ちゅうしょう,抽象。例：抽象的な概念。
提携,ていけい,合作；联盟。例：企業と提携する。
徹底,てってい,彻底。例：管理を徹底する。
動向,どうこう,动向。例：市場の動向。
把握,はあく,掌握。例：状況を把握する。
反映,はんえい,反映。例：意見を反映する。
複雑,ふくざつ,复杂。例：複雑な問題。
包括,ほうかつ,包括。例：包括的な支援。
