word,phonetic,definition
V ことができます,N4,能够做。例：日本語を話すことができます。
V ことにします,N4,决定做。例：毎日運動することにしました。
V ことになります,N4,客观决定。例：出張することになりました。
V ようになります,N4,变得会/开始。例：漢字が読めるようになりました。
V ようにします,N4,努力做到。例：早く寝るようにしています。
V ながら,N4,一边一边。例：音楽を聞きながら勉強します。
V てしまう,N4,做完；遗憾。例：財布を忘れてしまいました。
V ておく,N4,事先做。例：資料を読んでおきます。
V てみる,N4,试着做。例：この服を着てみます。
V てくる,N4,做了再来；变化出现。例：買ってきます。
V ていく,N4,继续下去；离去。例：勉強していきます。
V そうです,N4,看起来要；样态。例：雨が降りそうです。
普通形 そうです,N4,听说。例：明日は雨だそうです。
普通形 と思います,N4,我认为。例：いいと思います。
普通形 と言いました,N4,说了。例：来ると言いました。
V たら,N4,如果；之后。例：雨が降ったら行きません。
V ば,N4,如果。例：時間があれば行きます。
V なら,N4,如果说；话题条件。例：日本へ行くなら春がいいです。
N しか Vない,N4,只有。例：百円しかありません。
V すぎる,N4,过于。例：食べすぎました。
V やすい,N4,容易做。例：この本は読みやすいです。
V にくい,N4,难做。例：この字は読みにくいです。
V 方,N4,做法。例：使い方を教えてください。
N について,N4,关于。例：日本文化について話します。
N によると,N4,根据。例：天気予報によると雨です。
