word,phonetic,definition
相手,あいて,对方；对象。例：相手の話を聞く。
案内,あんない,引导；介绍。例：駅まで案内します。
意識,いしき,意识。例：健康を意識する。
影響,えいきょう,影响。例：生活に影響する。
延期,えんき,延期。例：会議を延期する。
確認,かくにん,确认。例：時間を確認します。
可能,かのう,可能。例：参加可能です。
感動,かんどう,感动。例：映画に感動した。
関係,かんけい,关系。例：仕事に関係がある。
期待,きたい,期待。例：成功を期待する。
基本,きほん,基本。例：基本を学ぶ。
協力,きょうりょく,合作；协助。例：協力してください。
禁止,きんし,禁止。例：写真は禁止です。
訓練,くんれん,训练。例：毎日訓練する。
結果,けっか,结果。例：結果を発表する。
原因,げんいん,原因。例：原因を調べる。
行動,こうどう,行动。例：すぐ行動する。
広告,こうこく,广告。例：広告を見る。
交流,こうりゅう,交流。例：文化交流。
失敗,しっぱい,失败。例：試験に失敗した。
実際,じっさい,实际。例：実際にやってみる。
情報,じょうほう,信息。例：情報を集める。
条件,じょうけん,条件。例：条件が合う。
状態,じょうたい,状态。例：体の状態。
成長,せいちょう,成长。例：子どもが成長する。
選択,せんたく,选择。例：方法を選択する。
対応,たいおう,应对。例：問題に対応する。
努力,どりょく,努力。例：努力が必要だ。
判断,はんだん,判断。例：自分で判断する。
表現,ひょうげん,表达。例：気持ちを表現する。
報告,ほうこく,报告。例：結果を報告する。
目的,もくてき,目的。例：目的を決める。
役割,やくわり,作用；职责。例：役割を果たす。
優先,ゆうせん,优先。例：安全を優先する。
理解,りかい,理解。例：意味を理解する。
