word,phonetic,definition
V ばかり,N3,光是；刚刚。例：遊んでばかりいます。
V たばかり,N3,刚刚做完。例：帰ったばかりです。
V ところ,N3,正要/正在/刚做。例：今から食べるところです。
V ようとする,N3,正要做。例：出かけようとした時、電話が来た。
V ことになっている,N3,规定；预定。例：ここでは禁煙することになっています。
V ことはない,N3,没必要。例：心配することはありません。
V わけではない,N3,并不是。例：嫌いなわけではありません。
V わけがない,N3,不可能。例：彼が知らないわけがない。
V はずだ,N3,理应。例：彼はもう着いたはずです。
V はずがない,N3,不可能。例：そんなはずがありません。
N ほど,N3,程度；越。例：日本語は勉強するほど面白い。
N くらい,N3,大约；程度。例：三十分くらい待ちました。
N によって,N3,根据；因；被。例：人によって考え方が違う。
N のために,N3,为了；因为。例：家族のために働く。
N に対して,N3,对于。例：質問に対して答える。
N として,N3,作为。例：教師として働く。
N ばかりでなく,N3,不但。例：英語ばかりでなく日本語も話せる。
V たとたん,N3,刚一就。例：家を出たとたん雨が降った。
V うちに,N3,趁着；期间。例：若いうちに旅行したい。
V ないうちに,N3,还没……就。例：暗くならないうちに帰ろう。
V 代わりに,N3,代替；相反。例：私の代わりに行ってください。
N らしい,N3,像；听说。例：今日は春らしい天気です。
N みたい,N3,像；好像。例：夢みたいです。
V ことから,N3,由于；从……可知。例：声から彼だと分かった。
N に比べて,N3,与……相比。例：去年に比べて暑い。
