word,phonetic,definition
私,わたし,我；私。例：私は学生です。
あなた,あなた,你；您。例：あなたは先生ですか。
人,ひと,人。例：あの人は日本人です。
日本,にほん,日本。例：日本へ行きます。
日本語,にほんご,日语。例：日本語を勉強します。
学生,がくせい,学生。例：学生です。
先生,せんせい,老师；医生。例：田中先生。
学校,がっこう,学校。例：学校へ行きます。
会社,かいしゃ,公司。例：会社で働きます。
家,いえ,家；房子。例：家に帰ります。
部屋,へや,房间。例：部屋が広いです。
本,ほん,书。例：本を読みます。
水,みず,水。例：水を飲みます。
食べる,たべる,吃。例：ご飯を食べます。
飲む,のむ,喝。例：お茶を飲みます。
行く,いく,去。例：学校へ行きます。
来る,くる,来。例：友だちが来ます。
見る,みる,看。例：映画を見ます。
聞く,きく,听；问。例：音楽を聞きます。
話す,はなす,说话。例：日本語を話します。
買う,かう,买。例：パンを買います。
読む,よむ,读。例：新聞を読みます。
書く,かく,写。例：名前を書きます。
大きい,おおきい,大的。例：大きい家。
小さい,ちいさい,小的。例：小さい犬。
新しい,あたらしい,新的。例：新しい本。
古い,ふるい,旧的；古老的。例：古い車。
高い,たかい,高的；贵的。例：値段が高い。
安い,やすい,便宜的。例：安い店。
暑い,あつい,天气热。例：今日は暑いです。
寒い,さむい,冷。例：冬は寒いです。
早い,はやい,早；快。例：朝早いです。
遅い,おそい,晚；慢。例：電車が遅い。
楽しい,たのしい,开心；有趣。例：旅行は楽しいです。
難しい,むずかしい,难。例：日本語は難しいです。
