word,phonetic,definition
N は N です,N5,判断句：A 是 B。例：私は学生です。
N は N ではありません,N5,否定判断句：A 不是 B。例：今日は休みではありません。
N は N ですか,N5,疑问判断句。例：これは本ですか。
これ／それ／あれ,N5,这个／那个／那个。例：これは何ですか。
この／その／あの N,N5,这个N／那个N。例：この本は高いです。
N の N,N5,所属、性质、内容。例：私の本。
N も,N5,也。例：私も行きます。
N と N,N5,和；与。例：パンと水。
N に V,N5,时间点或目的地。例：七時に起きます。
N へ V,N5,方向。例：学校へ行きます。
N で V,N5,动作场所或工具。例：図書館で勉強します。
N を V,N5,动作对象。例：本を読みます。
V ます,N5,礼貌现在/将来。例：毎日勉強します。
V ません,N5,礼貌否定。例：肉を食べません。
V ました,N5,礼貌过去。例：昨日行きました。
V ませんでした,N5,礼貌过去否定。例：昨日行きませんでした。
い形容詞です,N5,い形容词谓语。例：この本は面白いです。
な形容詞です,N5,な形容词谓语。例：この町は静かです。
V てください,N5,请做。例：名前を書いてください。
V てもいいです,N5,可以做。例：入ってもいいです。
V てはいけません,N5,不可以做。例：ここで写真を撮ってはいけません。
V たいです,N5,想做。例：日本へ行きたいです。
V たことがあります,N5,有过某经历。例：京都へ行ったことがあります。
V ないでください,N5,请不要做。例：忘れないでください。
N が好きです,N5,喜欢。例：音楽が好きです。
