word,phonetic,definition
N いかん,N1,取决于。例：結果いかんで判断する。
N いかんによらず,N1,不论。例：理由のいかんによらず認めない。
N をもって,N1,以；到……为止。例：本日をもって終了します。
N を皮切りに,N1,以……为开端。例：東京を皮切りに全国で開催する。
N を余儀なくされる,N1,被迫。例：計画の変更を余儀なくされた。
N に至るまで,N1,甚至到。例：細部に至るまで確認する。
N に即して,N1,依据；符合。例：現実に即して考える。
N に照らして,N1,参照。例：規則に照らして判断する。
N にかたくない,N1,不难。例：想像にかたくない。
N と相まって,N1,与……相结合。例：努力と才能が相まって成功した。
N ならでは,N1,只有……才有。例：京都ならではの景色。
N なくして,N1,没有……就不。例：努力なくして成功はない。
V ずにはおかない,N1,一定会；不能不。例：感動させずにはおかない。
V ずにはすまない,N1,不能不做。例：謝らずにはすまない。
V までもない,N1,没必要。例：言うまでもない。
V まじき,N1,不该有的。例：学生にあるまじき行為。
V べく,N1,为了。例：調査すべく現地へ向かった。
V べからず,N1,禁止。例：入るべからず。
V んがために,N1,为了。例：勝たんがために努力する。
V ともなく,N1,无意中。例：見るともなく外を見た。
V なり,N1,一……就。例：帰るなり寝てしまった。
V が早いか,N1,刚一……就。例：ベルが鳴るが早いか走り出した。
V そばから,N1,刚……就又。例：覚えるそばから忘れる。
N たるもの,N1,作为……应该。例：教師たるもの責任がある。
N とはいえ,N1,虽说。例：春とはいえまだ寒い。
