word,phonetic,definition
曖昧,あいまい,暧昧；含糊。例：曖昧な返事。
扱う,あつかう,处理；对待。例：商品を扱う。
圧倒的,あっとうてき,压倒性的。例：圧倒的な力。
依頼,いらい,委托；请求。例：仕事を依頼する。
維持,いじ,维持。例：健康を維持する。
一致,いっち,一致。例：意見が一致する。
応用,おうよう,应用。例：知識を応用する。
改善,かいぜん,改善。例：問題を改善する。
解決,かいけつ,解决。例：課題を解決する。
拡大,かくだい,扩大。例：規模を拡大する。
確実,かくじつ,确实。例：確実な方法。
環境,かんきょう,环境。例：環境を守る。
観察,かんさつ,观察。例：植物を観察する。
管理,かんり,管理。例：時間を管理する。
基準,きじゅん,标准。例：判断の基準。
傾向,けいこう,倾向。例：増える傾向がある。
継続,けいぞく,继续。例：勉強を継続する。
効率,こうりつ,效率。例：効率が上がる。
構成,こうせい,构成。例：文章の構成。
貢献,こうけん,贡献。例：社会に貢献する。
削減,さくげん,削减。例：費用を削減する。
支援,しえん,支援。例：被災地を支援する。
実施,じっし,实施。例：調査を実施する。
証明,しょうめい,证明。例：身分を証明する。
処理,しょり,处理。例：データを処理する。
推測,すいそく,推测。例：原因を推測する。
制限,せいげん,限制。例：利用を制限する。
責任,せきにん,责任。例：責任を取る。
達成,たっせい,达成。例：目標を達成する。
調整,ちょうせい,调整。例：日程を調整する。
提案,ていあん,提案。例：新しい方法を提案する。
導入,どうにゅう,导入。例：制度を導入する。
評価,ひょうか,评价。例：能力を評価する。
分析,ぶんせき,分析。例：結果を分析する。
要求,ようきゅう,要求。例：説明を要求する。
